OBJECTID,Geographic ID for geographic unit,Planning Region,ARC Modeling Area,Logical record number,Summary level of geographic unit,Geography Vintage,Name of geographic unit,"# Population 16 years and over, 2022","# Population 16 years and over, 2022 (MOE)","# In labor force, 2022","# In labor force, 2022 (MOE)","% In labor force, 2022","% In labor force, 2022 (MOE)","# In civilian labor force, 2022","# In civilian labor force, 2022 (MOE)","% In civilian labor force, 2022","% In civilian labor force, 2022 (MOE)","# Civilian employed, 2022","# Civilian employed, 2022 (MOE)","% Civilian employed, 2022","% Civilian employed, 2022 (MOE)","# Civilian unemployed, 2022","# Civilian unemployed, 2022 (MOE)","% Civilian unemployed, 2022","% Civilian unemployed, 2022 (MOE)","# In armed forces, 2022","# In armed forces, 2022 (MOE)","% In armed forces, 2022","% In armed forces, 2022 (MOE)","# Not in labor force, 2022","# Not in labor force, 2022 (MOE)","% Not in labor force, 2022","% Not in labor force, 2022 (MOE)","% Unemployed as part of total labor force (including armed forces), 2022","% Unemployed as part of total labor force (including armed forces), 2022 (MOE)","# Civilian Unemployed, 2022","# Civilian Unemployed, 2022 (MOE)","% Unemployment Rate, 2022","% Unemployment Rate, 2022 (MOE)",Shape__Area,Shape__Length
1,NSAA01,Atlanta Regional Commission,Yes,4642,NSA,2020,NSA A01,3233,426,2053,268,63.5,11.8,2053,268,63.5,11.8,1991,268,61.6,1.7,62,83,1.9,2.6,0,64,0,2,1180,290,36.5,7.6,3,4,62,83,3,4,15905323.77,18443.27625
2,NSAA02,Atlanta Regional Commission,Yes,4643,NSA,2020,NSA A02,3541,508,2289,443,64.6,8.4,2289,443,64.6,8.4,2257,441,63.7,8.5,32,85,0.9,2.4,0,68,0,1.9,1252,234,35.4,4.2,1.4,3.7,32,85,1.4,3.7,16106726.27,18135.98854
3,NSAA03,Atlanta Regional Commission,Yes,4644,NSA,2020,NSA A03,2596,447,1821,363,70.1,7,1816,363,70,7.1,1749,360,67.4,7.6,67,83,2.6,3.2,4,56,0.2,2.2,775,224,29.9,6.9,3.7,4.5,67,83,3.7,4.5,10656054.5,19934.15237
4,NSAB01,Atlanta Regional Commission,Yes,4645,NSA,2020,NSA B01,4143,419,2023,433,48.8,9.2,2023,433,48.8,9.2,1977,416,47.7,8.8,46,128,1.1,3.1,0,87,0,2.1,2120,386,51.2,7.8,2.3,6.3,46,128,2.3,6.3,3430643.953,8661.197373
5,NSAB02,Atlanta Regional Commission,Yes,4646,NSA,2020,NSA B02,4114,558,3133,562,76.2,8.9,3133,562,76.2,8.9,3071,544,74.6,8.5,62,129,1.5,3.1,0,79,0,1.9,981,283,23.8,6.1,2,4.1,62,129,2,4.1,2606969.641,7289.746969
6,NSAB03,Atlanta Regional Commission,Yes,4647,NSA,2020,NSA B03,1624,356,1115,278,68.7,8.1,1110,278,68.4,8.2,1058,274,65.2,9,52,71,3.2,4.3,4,43,0.3,2.6,509,196,31.3,9.9,4.7,6.2,52,71,4.7,6.2,2060608.504,7219.723642
7,NSAB04,Atlanta Regional Commission,Yes,4648,NSA,2020,NSA B04,10713,1253,8357,1031,78,3,8349,1030,77.9,3.1,8009,1015,74.8,3.6,340,236,3.2,2.2,8,123,0.1,1.2,2355,466,22,3.5,4.1,2.8,340,236,4.1,2.8,10043846.91,13792.6106
8,NSAB05,Atlanta Regional Commission,Yes,4649,NSA,2020,NSA B05,1776,365,943,253,53.1,9.2,938,252,52.8,9.2,922,250,51.9,9.2,16,77,0.9,4.3,5,62,0.3,3.5,833,208,46.9,6.7,1.7,8.1,16,77,1.8,8.2,3759273.148,9467.35384
9,NSAB06,Atlanta Regional Commission,Yes,4650,NSA,2020,NSA B06,4290,456,2743,485,63.9,9,2743,485,63.9,9,2706,484,63.1,9.1,36,80,0.8,1.9,0,63,0,1.5,1548,324,36.1,6.5,1.3,2.9,36,80,1.3,2.9,1821778.063,6442.752215
10,NSAB07,Atlanta Regional Commission,Yes,4651,NSA,2020,NSA B07,3673,648,2799,492,76.2,19,2799,492,76.2,19,2728,481,74.3,18.5,72,140,2,3.8,0,88,0,2.4,873,320,23.8,7.6,2.6,5,72,140,2.6,5,2608713.137,8302.073906
