OBJECTID,Geographic ID for geographic unit,Planning Region,ARC Modeling Area,Logical record number,Summary level of geographic unit,Geography Vintage,Name of geographic unit,"# Population 16 years and over, 2022","# Population 16 years and over, 2022 (MOE)","# In labor force, 2022","# In labor force, 2022 (MOE)","% In labor force, 2022","% In labor force, 2022 (MOE)","# In civilian labor force, 2022","# In civilian labor force, 2022 (MOE)","% In civilian labor force, 2022","% In civilian labor force, 2022 (MOE)","# Civilian employed, 2022","# Civilian employed, 2022 (MOE)","% Civilian employed, 2022","% Civilian employed, 2022 (MOE)","# Civilian unemployed, 2022","# Civilian unemployed, 2022 (MOE)","% Civilian unemployed, 2022","% Civilian unemployed, 2022 (MOE)","# In armed forces, 2022","# In armed forces, 2022 (MOE)","% In armed forces, 2022","% In armed forces, 2022 (MOE)","# Not in labor force, 2022","# Not in labor force, 2022 (MOE)","% Not in labor force, 2022","% Not in labor force, 2022 (MOE)","% Unemployed as part of total labor force (including armed forces), 2022","% Unemployed as part of total labor force (including armed forces), 2022 (MOE)","# Civilian Unemployed, 2022","# Civilian Unemployed, 2022 (MOE)","% Unemployment Rate, 2022","% Unemployment Rate, 2022 (MOE)",Shape__Area,Shape__Length
2,1300408,Atlanta Regional Commission,Yes,413,City,2021,Acworth city,17456,824,12458,1001,71.4,4.6,12458,1001,71.4,4.6,11933,990,68.4,4.7,525,204,3,1.2,0,121,0,0.7,4998,620,28.6,3.3,4.2,1.6,525,204,4.2,1.6,37143008.21,108899.873
11,1301696,Atlanta Regional Commission,Yes,425,City,2021,Alpharetta city,51057,1087,36300,1679,71.1,2.9,36188,1672,70.9,2.9,34458,1575,67.5,2.7,1730,594,3.4,1.2,112,168,0.2,0.3,14757,971,28.9,1.8,4.8,1.6,1730,594,4.8,1.6,103178653.2,97348.33538
20,1304000,Atlanta Regional Commission,Yes,439,City,2021,Atlanta city,417566,2204,280863,4552,67.3,1,280422,4550,67.2,1,264039,4385,63.2,1,16383,1461,3.9,0.3,441,214,0.1,0.1,136703,3402,32.7,0.8,5.8,0.5,16383,1461,5.8,0.5,511997502.5,220256.5978
24,1304252,Atlanta Regional Commission,Yes,443,City,2021,Austell city,6339,592,4459,674,70.3,8.4,4459,674,70.3,8.4,4211,641,66.4,8,248,269,3.9,4.2,0,89,0,1.4,1880,505,29.7,7.5,5.6,6,248,269,5.6,6,22460237.03,81853.24665
27,1304644,Atlanta Regional Commission,Yes,446,City,2021,Avondale Estates city,2869,117,1772,229,61.8,7.6,1772,229,61.8,7.6,1772,229,61.8,7.6,0,71,0,2.5,0,63,0,2.2,1097,183,38.2,6.2,0,4,0,71,0,4,4637638.156,14582.90675
30,1305036,Atlanta Regional Commission,Yes,450,City,2021,Ball Ground city,2022,140,1504,265,74.4,12,1504,265,74.4,12,1450,262,71.7,11.9,54,77,2.7,3.8,0,63,0,3.1,518,121,25.6,5.7,3.6,5.1,54,77,3.6,5.1,24129848.05,96925.89544
36,1307248,Atlanta Regional Commission,Yes,456,City,2021,Berkeley Lake city,2172,530,1315,245,60.5,18.6,1315,245,60.5,18.6,1283,244,59.1,18.3,32,62,1.5,2.8,0,63,0,2.9,857,195,39.5,13.2,2.4,4.7,32,62,2.4,4.7,6978219.086,16276.69862
56,1310944,Atlanta Regional Commission,Yes,479,City,2021,Brookhaven city,45060,1124,34897,1578,77.4,2.9,34886,1579,77.4,2.9,33832,1553,75.1,2.9,1054,302,2.3,0.7,11,149,0,0.3,10163,886,22.6,1.9,3,0.9,1054,302,3,0.9,46641706.51,43276.3317
69,1312988,Atlanta Regional Commission,Yes,497,City,2021,Canton city,25811,744,17894,1326,69.3,4.7,17894,1326,69.3,4.7,16640,1252,64.5,4.5,1254,474,4.9,1.8,0,134,0,0.5,7917,835,30.7,3.1,7,2.6,1254,474,7,2.6,72311163.67,210455.4835
93,1319336,Atlanta Regional Commission,Yes,532,City,2021,Conyers city,13884,522,9061,1007,65.3,6.8,9031,1007,65,6.8,8079,975,58.2,6.7,952,339,6.9,2.4,30,112,0.2,0.8,4823,644,34.7,4.5,10.5,3.6,952,339,10.5,3.6,44560310.28,127915.6511
100,1320932,Atlanta Regional Commission,Yes,540,City,2021,Cumming city,6291,251,3676,500,58.4,7.6,3676,500,58.4,7.6,3499,493,55.6,7.5,177,147,2.8,2.3,0,89,0,1.4,2615,384,41.6,5.9,4.8,3.9,177,147,4.8,3.9,28722927.13,70759.5769
103,1321184,Atlanta Regional Commission,Yes,543,City,2021,Dacula city,4884,358,3087,572,63.2,10.8,3087,572,63.2,10.8,2929,548,60,10.3,158,151,3.2,3.1,0,89,0,1.8,1797,497,36.8,9.8,5.1,4.8,158,151,5.1,4.8,19768865.95,66970.95453
113,1322052,Atlanta Regional Commission,Yes,557,City,2021,Decatur city,17620,529,11422,746,64.8,3.8,11422,746,64.8,3.8,10989,706,62.4,3.5,433,205,2.5,1.2,0,121,0,0.7,6198,592,35.2,3.2,3.8,1.8,433,205,3.8,1.8,17293522.31,28117.21001
123,1324600,Atlanta Regional Commission,Yes,572,City,2021,Duluth city,25280,825,18387,1275,72.7,4.4,18351,1275,72.6,4.5,17583,1222,69.6,4.3,768,375,3,1.5,36,143,0.1,0.6,6893,774,27.3,2.9,4.2,2,768,375,4.2,2,38558333.3,70417.57827
128,1325720,Atlanta Regional Commission,Yes,578,City,2021,East Point city,29806,1124,21292,1449,71.4,4,21292,1449,71.4,4,19772,1385,66.3,3.9,1520,439,5.1,1.5,0,134,0,0.5,8514,891,28.6,2.8,7.1,2,1520,439,7.1,2,55121337.02,59328.07196
136,1328380,Atlanta Regional Commission,Yes,592,City,2021,Fairburn city,11441,1231,8597,1207,75.1,6.8,8597,1207,75.1,6.8,8149,1181,71.2,6.9,448,297,3.9,2.6,0,103,0,0.9,2844,669,24.9,5.2,5.2,3.4,448,297,5.2,3.4,64008662.1,89654.52982
139,1328968,Atlanta Regional Commission,Yes,595,City,2021,Fayetteville city,15749,460,8972,772,57,4.6,8880,767,56.4,4.6,8350,718,53,4.3,530,267,3.4,1.7,92,145,0.6,0.9,6777,655,43,4,5.9,2.9,530,267,6,3,49167032.23,114800.3374
144,1330536,Atlanta Regional Commission,Yes,601,City,2021,Forest Park city,14486,913,8651,879,59.7,4.8,8651,879,59.7,4.8,7877,838,54.4,4.7,774,278,5.3,1.9,0,103,0,0.7,5835,674,40.3,3.9,8.9,3.1,774,278,8.9,3.1,34732176.05,55905.61408
164,1334596,Atlanta Regional Commission,Yes,625,City,2021,Grayson city,3104,513,2108,497,67.9,11.4,2108,497,67.9,11.4,2074,496,66.8,11.5,34,73,1.1,2.3,0,63,0,2,996,362,32.1,10.4,1.6,3.4,34,73,1.6,3.4,9415373.066,28477.93349
173,1336472,Atlanta Regional Commission,Yes,636,City,2021,Hapeville city,5172,519,4021,733,77.7,11.8,4021,733,77.7,11.8,3770,713,72.9,11.7,251,189,4.9,3.6,0,89,0,1.7,1151,310,22.3,5.6,6.2,4.6,251,189,6.2,4.6,9019649.547,14280.37322
186,1339524,Atlanta Regional Commission,Yes,652,City,2021,Holly Springs city,12707,608,9216,993,72.5,7,9215,993,72.5,7,8931,993,70.3,7.1,284,193,2.2,1.5,1,101,0,0.8,3491,706,27.5,5.4,3.1,2.1,284,193,3.1,2.1,27856380.25,141184.4311
201,1343192,Atlanta Regional Commission,Yes,675,City,2021,Kennesaw city,26994,707,19037,1314,70.5,4.5,18983,1315,70.3,4.5,17959,1234,66.5,4.2,1024,438,3.8,1.6,54,136,0.2,0.5,7957,921,29.5,3.3,5.4,2.3,1024,438,5.4,2.3,37304922.46,104553.2253
206,1344508,Atlanta Regional Commission,Yes,682,City,2021,Lake City city,2527,158,1634,291,64.7,10.8,1634,291,64.7,10.8,1605,290,63.5,10.7,29,68,1.1,2.7,0,63,0,2.5,893,214,35.3,8.2,1.8,4.1,29,68,1.8,4.1,6956586.508,16749.85761
213,1346356,Atlanta Regional Commission,Yes,692,City,2021,Lilburn city,10555,911,6598,766,62.5,4.8,6598,766,62.5,4.8,6294,761,59.6,5,304,171,2.9,1.6,0,103,0,1,3957,679,37.5,5.6,4.6,2.5,304,171,4.6,2.5,25610787.47,44208.22343
215,1346860,Atlanta Regional Commission,Yes,695,City,2021,Lithonia city,1791,197,1408,250,78.6,11,1408,250,78.6,11,1305,239,72.9,10.7,103,93,5.8,5.2,0,63,0,3.5,383,120,21.4,6.3,7.3,6.5,103,93,7.3,6.5,3484825.387,12199.7116
216,1347140,Atlanta Regional Commission,Yes,696,City,2021,Locust Grove city,7177,514,4916,762,68.5,9.4,4916,762,68.5,9.4,4496,705,62.6,8.7,420,243,5.9,3.4,0,89,0,1.2,2261,588,31.5,7.9,8.5,4.8,420,243,8.5,4.8,43837369.01,90782.56342
224,1348624,Atlanta Regional Commission,Yes,710,City,2021,McDonough city,22759,770,15915,1331,69.9,5.3,15749,1327,69.2,5.3,14769,1301,64.9,5.3,980,369,4.3,1.6,166,190,0.7,0.8,6844,791,30.1,3.3,6.2,2.3,980,369,6.2,2.3,50497026.69,130575.162
232,1349756,Atlanta Regional Commission,Yes,718,City,2021,Marietta city,49638,1161,33694,1680,67.9,3,33574,1680,67.6,3,32420,1655,65.3,3,1154,333,2.3,0.7,120,160,0.2,0.3,15944,1197,32.1,2.3,3.4,1,1154,333,3.4,1,88892671.47,208618.4473
246,1353004,Atlanta Regional Commission,Yes,743,City,2021,Morrow city,4731,365,2922,493,61.8,9.3,2922,493,61.8,9.3,2597,469,54.9,9,325,194,6.9,4.1,0,89,0,1.9,1809,445,38.2,8.9,11.1,6.4,325,194,11.1,6.4,13101105.29,31447.78015
250,1353172,Atlanta Regional Commission,Yes,747,City,2021,Mountain Park city,789,269,581,189,73.6,34.7,581,189,73.6,34.7,566,189,71.7,34.2,15,69,1.9,8.7,0,63,0,7.9,208,75,26.4,3.1,2.6,11.8,15,69,2.6,11.8,2006668.82,6832.920049
278,1359724,Atlanta Regional Commission,Yes,781,City,2021,Peachtree City city,30496,577,18018,970,59.1,3,18007,971,59,3,17337,945,56.9,2.9,670,249,2.2,0.8,11,132,0,0.4,12478,797,40.9,2.5,3.7,1.4,670,249,3.7,1.4,97007000.77,63610.52283
279,1359735,Atlanta Regional Commission,Yes,782,City,2021,Peachtree Corners city,33538,701,23277,1254,69.4,3.4,23277,1254,69.4,3.4,22519,1231,67.1,3.4,758,245,2.3,0.7,0,134,0,0.4,10261,993,30.6,2.9,3.3,1,758,245,3.3,1,61294239.13,63050.92217
288,1362524,Atlanta Regional Commission,Yes,800,City,2021,Powder Springs city,13461,689,9383,855,69.7,5.3,9361,853,69.5,5.2,8939,831,66.4,5.2,422,191,3.1,1.4,22,107,0.2,0.8,4078,576,30.3,4,4.5,2,422,191,4.5,2,28951488.71,88595.8197
303,1365464,Atlanta Regional Commission,Yes,821,City,2021,Riverdale city,11975,576,8267,928,69,7,8267,928,69,7,8018,925,67,7,249,137,2.1,1.1,0,103,0,0.9,3708,522,31,4.1,3,1.6,249,137,3,1.6,16433090.67,48307.79973
315,1368516,Atlanta Regional Commission,Yes,835,City,2021,Sandy Springs city,89508,1146,65235,2401,72.9,2.5,65145,2395,72.8,2.5,62743,2354,70.1,2.5,2402,590,2.7,0.7,90,169,0.1,0.2,24273,1512,27.1,1.7,3.7,0.9,2402,590,3.7,0.9,145317909.7,82987.91075
326,1371492,Atlanta Regional Commission,Yes,851,City,2021,Smyrna city,44502,816,34869,1660,78.4,3.4,34812,1660,78.2,3.4,33359,1643,75,3.4,1453,337,3.3,0.8,57,153,0.1,0.3,9633,896,21.6,2,4.2,0.9,1453,337,4.2,0.9,59419474.57,138775.1521
327,1371604,Atlanta Regional Commission,Yes,852,City,2021,Snellville city,17093,512,10364,917,60.6,5,10355,918,60.6,5.1,9934,906,58.1,5,421,197,2.5,1.1,9,119,0.1,0.7,6729,778,39.4,4.4,4.1,1.9,421,197,4.1,1.9,39968890.62,65597.18059
329,1372122,Atlanta Regional Commission,Yes,855,City,2021,South Fulton city,85601,2112,59736,2997,69.8,3,59462,2997,69.5,3.1,54796,2804,64,2.9,4666,1185,5.5,1.4,274,233,0.3,0.3,25865,1980,30.2,2.2,7.8,1.9,4666,1185,7.8,2,352853316.9,449226.9209
334,1373704,Atlanta Regional Commission,Yes,863,City,2021,Stockbridge city,22913,899,15988,1288,69.8,4.9,15988,1288,69.8,4.9,15185,1265,66.3,4.9,803,324,3.5,1.4,0,121,0,0.5,6925,989,30.2,4.1,5,2,803,324,5,2,51642024.5,156310.4438
335,1373784,Atlanta Regional Commission,Yes,864,City,2021,Stonecrest city,47358,1209,32459,2173,68.5,4.2,32432,2173,68.5,4.2,29655,2093,62.6,4.1,2777,756,5.9,1.6,27,155,0.1,0.3,14899,1387,31.5,2.8,8.6,2.3,2777,756,8.6,2.3,142401093.4,78825.67255
338,1374936,Atlanta Regional Commission,Yes,872,City,2021,Suwanee city,17000,517,13093,1148,77,6.3,13093,1148,77,6.3,12434,1106,73.1,6.1,659,370,3.9,2.2,0,121,0,0.7,3907,557,23,3.2,5,2.8,659,370,5,2.8,41815837.54,58680.30442
357,1378044,Atlanta Regional Commission,Yes,902,City,2021,Tyrone town,6124,220,3830,493,62.5,7.7,3830,493,62.5,7.7,3725,488,60.8,7.7,105,122,1.7,2,0,89,0,1.5,2294,432,37.5,6.9,2.7,3.2,105,122,2.7,3.2,48075796.81,58020.96962
360,1378324,Atlanta Regional Commission,Yes,905,City,2021,Union City city,20230,844,13978,1678,69.1,7.8,13871,1672,68.6,7.8,13229,1637,65.4,7.6,642,367,3.2,1.8,107,173,0.5,0.9,6252,1084,30.9,5.2,4.6,2.6,642,367,4.6,2.6,74225176.6,183816.1545
388,1384176,Atlanta Regional Commission,Yes,942,City,2021,Woodstock city,27503,597,20706,1349,75.3,4.6,20654,1349,75.1,4.6,20068,1330,73,4.6,586,274,2.1,1,52,139,0.2,0.5,6797,790,24.7,2.8,2.8,1.3,586,274,2.8,1.3,49345172.49,129051.4186
412,1311056,Atlanta Regional Commission,Yes,481,City,2021,Brooks town,543,135,302,72,55.6,19.1,302,72,55.6,19.1,298,73,54.9,19.1,4,69,0.7,12.7,0,63,0,11.5,241,74,44.4,8,1.3,22.8,4,69,1.3,22.8,16159803.69,18664.75756
413,1384288,Atlanta Regional Commission,Yes,944,City,2021,Woolsey town,168,58,103,54,61.3,23.9,101,54,60.1,24.2,99,53,58.9,24.3,2,69,1.2,40.9,2,61,1.2,36.4,65,51,38.7,26.9,1.9,66.7,2,69,2,68,3131317.469,8043.53263
428,1315172,Atlanta Regional Commission,Yes,508,City,2021,Chamblee city,24191,687,18410,1180,76.1,4.4,18384,1180,76,4.4,18034,1176,74.5,4.4,350,208,1.4,0.9,26,120,0.1,0.5,5781,745,23.9,3,1.9,1.1,350,208,1.9,1.1,29013762.41,30839.86964
429,1316544,Atlanta Regional Commission,Yes,515,City,2021,Clarkston city,9908,470,7077,761,71.4,6.9,7077,761,71.4,6.9,6467,727,65.3,6.7,610,258,6.2,2.6,0,103,0,1,2831,541,28.6,5.3,8.6,3.5,610,258,8.6,3.5,6991957.684,19131.80924
