OBJECTID,Geographic ID for geographic unit,Planning Region,ARC Modeling Area,Logical record number,Summary level of geographic unit,Geography Vintage,Name of geographic unit,"# Civilian non-institutionalized population, 2022","# Civilian non-institutionalized population, 2022 (MOE)","# Civilian non-institutionalized population with health insurance, 2022","# Civilian non-institutionalized population with health insurance, 2022 (MOE)","% Civilian non-institutionalized population with health insurance, 2022","% Civilian non-institutionalized population with health insurance, 2022 (MOE)","# Civilian non-institutionalized population with private health insurance, 2022","# Civilian non-institutionalized population with private health insurance, 2022 (MOE)","% Civilian non-institutionalized population with private health insurance, 2022","% Civilian non-institutionalized population with private health insurance, 2022 (MOE)","# Civilian non-institutionalized population with public health insurance, 2022","# Civilian non-institutionalized population with public health insurance, 2022 (MOE)","% Civilian non-institutionalized population with public health insurance, 2022","% Civilian non-institutionalized population with public health insurance, 2022 (MOE)","# Civilian non-institutionalized population, no health insurance, 2022","# Civilian non-institutionalized population, no health insurance, 2022 (MOE)","% Civilian non-institutionalized population, no health insurance, 2022","% Civilian non-institutionalized population, no health insurance, 2022 (MOE)","# Civilian non-institutionalized population under 19 years, 2022","# Civilian non-institutionalized population under 19 years, 2022 (MOE)","# Civilian non-institutionalized population under 19 years, no health insurance, 2022","# Civilian non-institutionalized population under 19 years, no health insurance, 2022 (MOE)","% Civilian non-institutionalized population under 19 years, no health insurance, 2022","% Civilian non-institutionalized population under 19 years, no health insurance, 2022 (MOE)","# Civilian population 19 to 64 years employed, 2022","# Civilian population 19 to 64 years employed, 2022 (MOE)","# Civilian population 19 to 64 years employed, no health insurance, 2022","# Civilian population 19 to 64 years employed, no health insurance, 2022 (MOE)","% Civilian population 19 to 64 years employed, no health insurance, 2022","% Civilian population 19 to 64 years employed, no health insurance, 2022 (MOE)","# Civilian population 19 to 64 years unemployed, 2022","# Civilian population 19 to 64 years unemployed, 2022 (MOE)","# Civilian population 19 to 64 years unemployed, no health insurance, 2022","# Civilian population 19 to 64 years unemployed, no health insurance, 2022 (MOE)","% Civilian population 19 to 64 years unemployed, no health insurance, 2022","% Civilian population 19 to 64 years unemployed, no health insurance, 2022 (MOE)","# Civilian population 19 to 64 years not in labor force, 2022","# Civilian population 19 to 64 years not in labor force, 2022 (MOE)","# Civilian population 19 to 64 years not in labor force, no health insurance, 2022","# Civilian population 19 to 64 years not in labor force, no health insurance, 2022 (MOE)","% Civilian population 19 to 64 years not in labor force, no health insurance, 2022","% Civilian population 19 to 64 years not in labor force, no health insurance, 2022 (MOE)","# Civilian non-institutionalized population ages 19 and over, 2022","# Civilian non-institutionalized population ages 19 and over, 2022 (MOE)","# Civilian noninstitutionalized population ages 19 and over, no health insurance, 2022","# Civilian noninstitutionalized population ages 19 and over, no health insurance, 2022 (MOE)","% Civilian noninstitutionalized population ages 19 and over, no health insurance, 2022","% Civilian noninstitutionalized population ages 19 and over, no health insurance, 2022 (MOE)","# Civilian noninstitutionalized population with employer-provided health insurance, 2022","# Civilian noninstitutionalized population with employer-provided health insurance, 2022 (MOE)","% Civilian noninstitutionalized population with employer-provided health insurance, 2022","% Civilian noninstitutionalized population with employer-provided health insurance, 2022 (MOE)","# Civilian population 19 to 64 years with employer-provided health insurance, 2022","# Civilian population 19 to 64 years with employer-provided health insurance, 2022 (MOE)","% Civilian population 19 to 64 years with employer-provided health insurance, 2022","% Civilian population 19 to 64 years with employer-provided health insurance, 2022 (MOE)","# Civilian noninstitutionalized population under age 6, 2022","# Civilian noninstitutionalized population under age 6, 2022 (MOE)","# Civilian noninstitutionalized under age 6 without health insurance, 2022","# Civilian noninstitutionalized under age 6 without health insurance, 2022 (MOE)","% Civilian noninstitutionalized under age 6 without health insurance, 2022","% Civilian noninstitutionalized under age 6 without health insurance, 2022 (MOE)","# Civilian noninstitutionalized population under age 65, 2022","# Civilian noninstitutionalized population under age 65, 2022 (MOE)","# Civilian noninstitutionalized under age 65 without health insurance, 2022","# Civilian noninstitutionalized under age 65 without health insurance, 2022 (MOE)","% Civilian noninstitutionalized under age 65 without health insurance, 2022","% Civilian noninstitutionalized under age 65 without health insurance, 2022 (MOE)",Shape__Area,Shape__Length
2,1300408,Atlanta Regional Commission,Yes,413,City,2021,Acworth city,22282,56,18489,1246,83,5.6,14370,1087,64.5,4.9,6104,859,27.4,3.9,3793,753,17,3.4,6262,806,948,519,15.1,8.1,10924,676,2190,503,20,4.4,255,121,145,91,56.9,23.4,2257,440,510,225,22.6,8.9,16020,816,2845,546,17.8,3.3,12594,1028,56.5,4.6,8690,807,64.7,5.1,1251,330,132,123,10.6,9.4,19698,1329,3793,716,19.3,3.4,37143008.21,108899.873
11,1301696,Atlanta Regional Commission,Yes,425,City,2021,Alpharetta city,65477,118,61962,2010,94.6,3.1,56132,2051,85.7,3.1,10140,1031,15.5,1.6,3515,626,5.4,1,17410,1089,629,265,3.6,1.5,31907,1005,2122,511,6.7,1.6,1584,575,180,104,11.4,5.1,7682,682,541,211,7,2.7,48067,1263,2886,567,6,1.2,48859,1798,74.6,2.7,32742,1317,79.5,2.4,4415,604,108,108,2.4,2.4,58583,2172,3472,493,5.9,0.8,103178653.2,97348.33538
20,1304000,Atlanta Regional Commission,Yes,439,City,2021,Atlanta city,487213,443,434837,5155,89.2,1.1,343020,5028,70.4,1,130649,3774,26.8,0.8,52376,2959,10.8,0.6,93384,2179,6247,991,6.7,1,249934,3330,26988,2262,10.8,0.9,14889,1543,5647,882,37.9,4.4,71585,2362,12874,1260,18,1.7,393829,2930,46129,2788,11.7,0.7,287840,4615,59.1,0.9,223170,3951,66.3,1.1,30648,1401,1901,430,6.2,1.4,429792,5613,51756,2633,12,0.6,511997502.5,220256.5978
24,1304252,Atlanta Regional Commission,Yes,443,City,2021,Austell city,8109,481,6457,763,79.6,8.1,4903,680,60.5,7.6,2339,500,28.8,5.9,1652,390,20.4,4.7,2318,397,204,221,8.8,9.4,3913,405,1032,324,26.4,7.8,248,239,182,237,73.4,64.3,911,435,234,162,25.7,12.9,5791,551,1448,321,25,5,3831,554,47.2,6.2,2671,450,52.7,7.4,527,210,0,28,0,5.4,7390,852,1652,418,22.4,5,22460237.03,81853.24665
27,1304644,Atlanta Regional Commission,Yes,446,City,2021,Avondale Estates city,3507,19,3377,305,96.3,8.7,2920,287,83.3,8.2,1165,211,33.2,6,130,88,3.7,2.5,697,132,51,54,7.3,7.6,1603,168,37,37,2.3,2.3,0,14,0,14,,,245,91,42,36,17.1,13.2,2810,231,79,69,2.8,2.5,2555,243,72.9,6.9,1523,167,82.4,5.6,247,94,13,22,5.3,8.7,2545,273,130,71,5.1,2.7,4637638.156,14582.90675
30,1305036,Atlanta Regional Commission,Yes,450,City,2021,Ball Ground city,2527,45,2252,262,89.1,10.2,1946,247,77,9.7,576,142,22.8,5.6,275,128,10.9,5,582,149,53,49,9.1,8.1,1370,150,141,79,10.3,5.7,28,22,12,18,42.9,54.8,234,101,69,54,29.5,19.2,1945,196,222,118,11.4,5.9,1734,240,68.6,9.4,1230,209,75.4,10,161,70,0,20,0,12.3,2214,302,275,92,12.4,3.8,24129848.05,96925.89544
36,1307248,Atlanta Regional Commission,Yes,456,City,2021,Berkeley Lake city,2527,566,2498,446,98.9,28.3,2160,407,85.5,25,744,255,29.4,7.6,29,37,1.1,1.4,476,138,0,20,0,4.2,1091,371,25,16,2.3,1.2,29,18,3,6,10.3,19.7,218,63,1,3,0.5,1.4,2051,470,29,31,1.4,1.5,1821,323,72.1,20.6,1138,277,85.1,32.5,103,63,0,20,0,19.2,1814,248,29,43,1.6,2.4,6978219.086,16276.69862
56,1310944,Atlanta Regional Commission,Yes,479,City,2021,Brookhaven city,56676,44,49827,1805,87.9,3.2,43177,1475,76.2,2.6,9852,1160,17.4,2,6849,891,12.1,1.6,13122,1161,1082,589,8.2,4.4,32320,1295,4306,631,13.3,1.9,845,251,132,91,15.6,9.7,4731,468,1005,244,21.2,4.7,43554,1397,5767,669,13.2,1.5,37929,1374,66.9,2.4,28209,1159,74.4,1.9,5825,613,152,100,2.6,1.7,51018,1960,6525,883,12.8,1.7,46641706.51,43276.3317
69,1312988,Atlanta Regional Commission,Yes,497,City,2021,Canton city,33220,50,27755,1579,83.5,4.8,20664,1560,62.2,4.7,10546,1076,31.7,3.2,5465,891,16.5,2.7,8871,760,411,221,4.6,2.5,15257,891,3609,780,23.7,4.9,1089,497,455,301,41.8,20,3190,526,990,311,31,8.3,24349,1042,5054,863,20.8,3.4,16916,1287,50.9,3.9,11452,998,58.6,4.5,2796,643,82,109,2.9,3.8,28407,1687,5465,867,19.2,2.8,72311163.67,210455.4835
93,1319336,Atlanta Regional Commission,Yes,532,City,2021,Conyers city,17043,58,14568,1060,85.5,6.2,9494,921,55.7,5.4,6463,863,37.9,5.1,2475,614,14.5,3.6,4313,531,455,227,10.5,5.1,7608,554,1423,537,18.7,6.9,836,315,147,121,17.6,12.9,1986,449,441,232,22.2,10.5,12730,627,2020,570,15.9,4.4,7751,873,45.5,5.1,5989,769,57.4,6.9,1015,301,44,75,4.3,7.2,14743,1174,2466,527,16.7,3.3,44560310.28,127915.6511
