OBJECTID,Geographic ID for geographic unit,Planning Region,ARC Modeling Area,Logical record number,Summary level of geographic unit,Geography Vintage,Name of geographic unit,"# Total households, 2022","# Total households, 2022 (MOE)","# Household income less than $10,000, 2022","# Household income less than $10,000, 2022 (MOE)","% Household income less than $10,000, 2022","% Household income less than $10,000, 2022 (MOE)","# Household income $10,000 to $14,999, 2022","# Household income $10,000 to $14,999, 2022 (MOE)","% Household income $10,000 to $14,999, 2022","% Household income $10,000 to $14,999, 2022 (MOE)","# Household income $15,000 to $24,999, 2022","# Household income $15,000 to $24,999, 2022 (MOE)","% Household income $15,000 to $24,999, 2022","% Household income $15,000 to $24,999, 2022 (MOE)","# Household income $25,000 to $34,999, 2022","# Household income $25,000 to $34,999, 2022 (MOE)","% Household income $25,000 to $34,999, 2022","% Household income $25,000 to $34,999, 2022 (MOE)","# Household income $35,000 to $49,999, 2022","# Household income $35,000 to $49,999, 2022 (MOE)","% Household income $35,000 to $49,999, 2022","% Household income $35,000 to $49,999, 2022 (MOE)","# Household income $50,000 to $74,999, 2022","# Household income $50,000 to $74,999, 2022 (MOE)","% Household income $50,000 to $74,999, 2022","% Household income $50,000 to $74,999, 2022 (MOE)","# Household income $75,000 to $99,999, 2022","# Household income $75,000 to $99,999, 2022 (MOE)","% Household income $75,000 to $99,999, 2022","% Household income $75,000 to $99,999, 2022 (MOE)","# Household income $100,000 to $149,999, 2022","# Household income $100,000 to $149,999, 2022 (MOE)","% Household income $100,000 to $149,999, 2022","% Household income $100,000 to $149,999, 2022 (MOE)","# Household income $150,000 to $199,999, 2022","# Household income $150,000 to $199,999, 2022 (MOE)","% Household income $150,000 to $199,999, 2022","% Household income $150,000 to $199,999, 2022 (MOE)","# Household income $200,000 or more, 2022","# Household income $200,000 or more, 2022 (MOE)","% Household income $200,000 or more, 2022","% Household income $200,000 or more, 2022 (MOE)","# Household income less than $35,000, 2022","# Household income less than $35,000, 2022 (MOE)","% Household income less than $35,000, 2022","% Household income less than $35,000, 2022 (MOE)","# Household income $35,000 to $74,999, 2022","# Household income $35,000 to $74,999, 2022 (MOE)","% Household income $35,000 to $74,999, 2022","% Household income $35,000 to $74,999, 2022 (MOE)","# Household income $75,000 to $199,999, 2022","# Household income $75,000 to $199,999, 2022 (MOE)","% Household income $75,000 to $199,999, 2022","% Household income $75,000 to $199,999, 2022 (MOE)","Median household income, 2022","Median household income, 2022 (MOE)","Aggregate household income, 2022","Aggregate household income, 2022 (MOE)","Mean household income, 2022","Mean household income, 2022 (MOE)","Median family income (dollars), 2022","Median family income (dollars), 2022 (MOE)","Median family income (dollars), single mother, 2022","Median family income (dollars), single mother, 2022 (MOE)","Median family income (dollars), single father, 2022","Median family income (dollars), single father, 2022 (MOE)","Median family income (dollars), single parent, 2022","Median family income (dollars), single parent, 2022 (MOE)","# Households with earnings, 2022","# Households with earnings, 2022 (MOE)","% Households with earnings, 2022","% Households with earnings, 2022 (MOE)","Mean household earnings (dollars), 2022","Mean household earnings (dollars), 2022 (MOE)","# Households with Social Security income, 2022","# Households with Social Security income, 2022 (MOE)","% Households with Social Security income, 2022","% Households with Social Security income, 2022 (MOE)","Mean household Social Security income (dollars), 2022","Mean household Social Security income (dollars), 2022 (MOE)","# Households with retirement income, 2022","# Households with retirement income, 2022 (MOE)","% Households with retirement income, 2022","% Households with retirement income, 2022 (MOE)","Mean household retirement income (dollars), 2022","Mean household retirement income (dollars), 2022 (MOE)","# Households with Supplemental Security Income, 2022","# Households with Supplemental Security Income, 2022 (MOE)","% Households with Supplemental Security Income, 2022","% Households with Supplemental Security Income, 2022 (MOE)","Mean household Supplemental Security Income (dollars), 2022","Mean household Supplemental Security Income (dollars), 2022 (MOE)","# Households with cash public assistance income, 2022","# Households with cash public assistance income, 2022 (MOE)","% Households with cash public assistance income, 2022","% Households with cash public assistance income, 2022 (MOE)","Mean household cash public assistance income (dollars), 2022","Mean household cash public assistance income (dollars), 2022 (MOE)","# Households with Food Stamp/SNAP benefits in past 12 months, 2022","# Households with Food Stamp/SNAP benefits in past 12 months, 2022 (MOE)","% Households with Food Stamp/SNAP benefits in past 12 months, 2022","% Households with Food Stamp/SNAP benefits in past 12 months, 2022 (MOE)","# Households with children receiving Food Stamps/SNAP, 2022","# Households with children receiving Food Stamps/SNAP, 2022 (MOE)","% Households with children receiving Food Stamps/SNAP, 2022","% Households with children receiving Food Stamps/SNAP, 2022 (MOE)","# Total population, 2022","# Total population, 2022 (MOE)","Per capita income (dollars), 2022","Per capita income (dollars), 2022 (MOE)",Shape__Area,Shape__Length
2,1300408,Atlanta Regional Commission,Yes,413,City,2021,Acworth city,8260,601,463,243,5.6,2.9,346,163,4.2,1.9,495,170,6,2,450,171,5.4,2,1148,341,13.9,4,1247,335,15.1,3.9,1310,288,15.9,3.3,1708,308,20.7,3.4,591,222,7.2,2.6,502,167,6.1,2,1754,379,21.2,4.3,2395,478,29,5.4,3609,477,43.7,4.8,74643,11622,774469900,144930395,93761,16165,85019,5043,45219,13042,43059,9738,41324,2497,6613,456,80.1,8,98325,18623,2445,383,29.6,4.1,19533,1397,1750,324,21.2,3.6,23213,3859,262,96,3.2,1.1,12539,3190,190,135,2.3,1.6,1314,1278,834,270,10.1,3.2,521,271,18.2,9.3,22318,56,35413.1,5509.6,37143008.21,108899.873
11,1301696,Atlanta Regional Commission,Yes,425,City,2021,Alpharetta city,24093,779,561,219,2.3,0.9,183,79,0.8,0.3,1158,341,4.8,1.4,958,260,4,1.1,1489,344,6.2,1.4,2016,317,8.4,1.3,2433,457,10.1,1.9,3758,449,15.6,1.8,3037,453,12.6,1.8,8500,705,35.3,2.7,2860,488,11.9,2,3505,468,14.5,1.9,9228,784,38.3,3,141402,8675,4530718700,367033941,188051,13968,176705,10717,71044,6343,65804,53112,68638,3368,21269,672,88.3,4,191161,14555,3990,362,16.6,1.4,25710,746,3922,476,16.3,1.9,35602,7119,583,174,2.4,0.7,11261,1901,542,284,2.2,1.2,6133,2628,795,260,3.3,1.1,217,163,2.3,1.8,65884,65,68391.3,4664.6,103178653.2,97348.33538
20,1304000,Atlanta Regional Commission,Yes,439,City,2021,Atlanta city,227388,2213,17845,1657,7.8,0.7,12181,1166,5.4,0.5,16874,1361,7.4,0.6,14973,1466,6.6,0.6,18798,1462,8.3,0.6,29975,1775,13.2,0.8,27474,1763,12.1,0.8,32831,1884,14.4,0.8,18479,1175,8.1,0.5,37958,1682,16.7,0.7,61873,2847,27.2,1.2,48773,2299,21.4,1,78784,2836,34.6,1.2,77655,1694,29325116000,800019545,128965,3287,103886,5796,33293,4726,63573,13408,36037,981,184640,2450,81.2,0.7,134954,3298,46196,1508,20.3,0.6,18742,543,34140,1834,15,0.8,36065,2315,11898,1031,5.2,0.5,10132,391,4359,874,1.9,0.4,3187,261,32701,1614,14.4,0.7,12732,1088,29.8,2.3,494838,81,60777.9,1527.5,511997502.5,220256.5978
24,1304252,Atlanta Regional Commission,Yes,443,City,2021,Austell city,2844,318,81,85,2.8,3,44,73,1.5,2.6,52,62,1.8,2.2,83,66,2.9,2.3,559,279,19.7,9.5,792,295,27.8,9.9,604,233,21.2,7.8,426,193,15,6.6,111,88,3.9,3.1,92,66,3.2,2.3,260,144,9.1,5,1351,406,47.5,13.3,1141,315,40.1,10.1,64071,12980,223415800,33688856,78557,7948,61334,15808,46617,7174,63036,56315,48318,981,2471,257,86.9,13.3,80618,8596,551,228,19.4,7.7,23290,7127,430,227,15.1,7.8,19210,6778,42,63,1.5,2.2,,,25,34,0.9,1.2,,,477,232,16.8,7.9,437,236,35.9,18.4,8109,481,28244.8,2965.6,22460237.03,81853.24665
27,1304644,Atlanta Regional Commission,Yes,446,City,2021,Avondale Estates city,1524,135,41,35,2.7,2.3,28,35,1.8,2.3,13,17,0.9,1.1,62,44,4.1,2.8,119,66,7.8,4.2,100,51,6.6,3.3,166,62,10.9,4,392,112,25.7,7,243,78,15.9,4.9,360,82,23.6,5,144,68,9.4,4.4,219,83,14.4,5.3,801,150,52.6,8.7,136250,19619,266835900,39749314,175089,20970,168906,31946,,,179375,138394,168056,80247,1084,125,71.1,5.3,185788,29021,621,110,40.7,6.3,30469,3048,507,111,33.3,6.7,55269,13834,40,40,2.6,2.6,25178,15294,0,14,0,0.9,,,33,26,2.2,1.7,15,21,4.3,6,3507,19,77799.7,9908.4,4637638.156,14582.90675
30,1305036,Atlanta Regional Commission,Yes,450,City,2021,Ball Ground city,1006,98,9,14,0.9,1.4,7,12,0.7,1.2,79,52,7.9,5.1,58,43,5.8,4.3,34,23,3.4,2.3,104,42,10.3,4.1,183,79,18.2,7.7,302,91,30,8.6,119,54,11.8,5.2,111,84,11,8.3,153,70,15.2,6.8,138,48,13.7,4.6,604,132,60,11.7,103429,12804,109500500,16903356,108847,13034,101250,13985,,,,,117500,53832,900,99,89.5,4.6,103450,14486,260,72,25.8,6.7,28328,4120,178,58,17.7,5.5,25664,2994,20,16,2,1.6,14130,4032,0,14,0,1.4,,,13,18,1.3,1.8,13,18,3.8,5.2,2527,45,44086.1,5847.7,24129848.05,96925.89544
36,1307248,Atlanta Regional Commission,Yes,456,City,2021,Berkeley Lake city,902,222,13,10,1.4,1.1,0,14,0,1.6,8,8,0.9,0.8,10,9,1.1,1,27,15,3,1.5,129,118,14.3,12.6,119,70,13.2,7,137,57,15.2,5.1,182,113,20.2,11.5,277,84,30.7,5.4,31,21,3.4,2.2,156,119,17.3,12.5,438,145,48.6,10.7,152908,15509,171613800,40488066,190259,64866,153520,14004,,,,,,,675,170,74.8,4,186806,14711,380,160,42.1,14.4,35484,8280,303,130,33.6,11.8,35959,20850,21,13,2.3,1.3,16062,3847,2,4,0.2,0.4,,,8,9,0.9,1,2,5,1,2.4,2527,566,70537.5,11270.2,6978219.086,16276.69862
56,1310944,Atlanta Regional Commission,Yes,479,City,2021,Brookhaven city,24369,780,813,246,3.3,1,543,408,2.2,1.7,1311,328,5.4,1.3,925,270,3.8,1.1,1557,326,6.4,1.3,2962,466,12.2,1.9,2444,394,10,1.6,4266,559,17.5,2.2,2325,415,9.5,1.7,7223,513,29.6,1.9,3592,638,14.7,2.6,4519,568,18.5,2.3,9035,800,37.1,3.1,114570,4169,4176571800,209595369,171389,6624,188477,21699,25187,9549,89412,55899,32600,6864,21411,811,87.9,1.8,175798,6856,3807,558,15.6,2.2,22901,4421,2857,358,11.7,1.4,38603,5371,649,442,2.7,1.8,8029,6984,258,132,1.1,0.5,4332,2138,1814,547,7.4,2.2,896,475,14.3,7.5,56848,41,74964.4,3225.6,46641706.51,43276.3317
69,1312988,Atlanta Regional Commission,Yes,497,City,2021,Canton city,12268,732,786,263,6.4,2.1,188,112,1.5,0.9,856,336,7,2.7,846,243,6.9,1.9,916,311,7.5,2.5,2511,529,20.5,4.1,1752,410,14.3,3.2,2296,511,18.7,4,1142,307,9.3,2.4,975,314,7.9,2.5,2676,503,21.8,3.9,3427,613,27.9,4.7,5190,724,42.3,5.3,75414,9290,1163907800,102834973,94873,6182,89341,6960,58448,20349,60543,42121,58617,5703,9759,710,79.5,3.3,95829,7326,3264,475,26.6,3.5,26779,1621,2804,484,22.9,3.7,34137,6725,316,208,2.6,1.7,13458,3923,128,103,1,0.8,2546,1343,767,227,6.3,1.8,485,163,11.8,3.7,33499,49,35770.4,2552.7,72311163.67,210455.4835
93,1319336,Atlanta Regional Commission,Yes,532,City,2021,Conyers city,7322,476,266,176,3.6,2.4,336,211,4.6,2.9,454,240,6.2,3.3,1113,527,15.2,7.1,1225,335,16.7,4.4,1957,462,26.7,6.1,1086,299,14.8,4,587,192,8,2.6,106,89,1.4,1.2,192,125,2.6,1.7,2169,641,29.6,8.5,3182,570,43.5,7.3,1779,366,24.3,4.7,53500,5437,453752000,42010700,61971,4085,50882,11041,33910,9427,52245,11371,40593,3105,5903,490,80.6,4.2,59266,2949,1776,302,24.3,3.8,20666,2821,1452,357,19.8,4.7,24074,7297,478,228,6.5,3.1,11075,2072,98,155,1.3,2.1,1899,4044,1127,316,15.4,4.2,743,256,32.9,10.3,17415,27,26797.8,1884.9,44560310.28,127915.6511
