OBJECTID,Geographic ID for geographic unit,Planning Region,ARC Modeling Area,Logical record number,Summary level of geographic unit,Geography Vintage,Name of geographic unit,"# Population ages 3 and over, 2022","# Population ages 3 and over, 2022 (MOE)","# Population 3 years and over enrolled in school, 2022","# Population 3 years and over enrolled in school, 2022 (MOE)","# Enrolled in nursery school, preschool, 2022","# Enrolled in nursery school, preschool, 2022 (MOE)","% Enrolled in nursery school, preschool, 2022","% Enrolled in nursery school, preschool, 2022 (MOE)","# Enrolled in kindergarten, 2022","# Enrolled in kindergarten, 2022 (MOE)","% Enrolled in kindergarten, 2022","% Enrolled in kindergarten, 2022 (MOE)","# Enrolled in elementary school (grades 1-8), 2022","# Enrolled in elementary school (grades 1-8), 2022 (MOE)","% Enrolled in elementary school (grades 1-8), 2022","% Enrolled in elementary school (grades 1-8), 2022 (MOE)","# Enrolled in high school (grades 9-12), 2022","# Enrolled in high school (grades 9-12), 2022 (MOE)","% Enrolled in high school (grades 9-12), 2022","% Enrolled in high school (grades 9-12), 2022 (MOE)","# Enrolled in college or graduate school, 2022","# Enrolled in college or graduate school, 2022 (MOE)","% Enrolled in college or graduate school, 2022","% Enrolled in college or graduate school, 2022 (MOE)",Shape__Area,Shape__Length
2,1300408,Atlanta Regional Commission,Yes,413,City,2021,Acworth city,21852,208,6362,753,277,153,4.4,2.3,201,125,3.2,1.9,2641,837,41.5,12.2,1975,533,31,7.5,1268,339,19.9,4.8,37143008.21,108899.873
11,1301696,Atlanta Regional Commission,Yes,425,City,2021,Alpharetta city,63804,424,18018,1256,1167,318,6.5,1.7,977,273,5.4,1.5,8040,1038,44.6,4.8,4027,553,22.3,2.6,3807,694,21.1,3.6,103178653.2,97348.33538
20,1304000,Atlanta Regional Commission,Yes,439,City,2021,Atlanta city,479569,993,124141,2951,7987,932,6.4,0.7,5118,832,4.1,0.7,36344,1791,29.3,1.3,16972,1343,13.7,1,57720,1881,46.5,1,511997502.5,220256.5978
24,1304252,Atlanta Regional Commission,Yes,443,City,2021,Austell city,7911,526,2578,381,160,131,6.2,5,142,88,5.5,3.3,1023,301,39.7,10.1,652,264,25.3,9.5,601,199,23.3,6.9,22460237.03,81853.24665
27,1304644,Atlanta Regional Commission,Yes,446,City,2021,Avondale Estates city,3425,47,732,118,108,48,14.8,6.1,52,39,7.1,5.2,326,95,44.5,10.8,107,59,14.6,7.7,139,83,19,11,4637638.156,14582.90675
30,1305036,Atlanta Regional Commission,Yes,450,City,2021,Ball Ground city,2468,61,659,152,31,28,4.7,4.1,46,29,7,4.1,316,101,48,10.6,93,61,14.1,8.7,173,79,26.3,10.4,24129848.05,96925.89544
36,1307248,Atlanta Regional Commission,Yes,456,City,2021,Berkeley Lake city,2473,558,638,235,43,35,6.7,4.9,3,7,0.5,1.1,229,65,35.9,16.7,158,86,24.8,9.9,205,191,32.1,27.4,6978219.086,16276.69862
56,1310944,Atlanta Regional Commission,Yes,479,City,2021,Brookhaven city,53802,433,12063,975,1721,294,14.3,2.1,951,623,7.9,5.1,4615,635,38.3,4.3,1691,372,14,2.9,3085,410,25.6,2.7,46641706.51,43276.3317
69,1312988,Atlanta Regional Commission,Yes,497,City,2021,Canton city,32469,320,8235,753,683,394,8.3,4.7,541,252,6.6,3,4025,655,48.9,6.6,1649,448,20,5.1,1337,421,16.2,4.9,72311163.67,210455.4835
93,1319336,Atlanta Regional Commission,Yes,532,City,2021,Conyers city,16937,210,4323,688,228,133,5.3,3,212,146,4.9,3.3,1717,475,39.7,9,1159,312,26.8,5.8,1007,298,23.3,5.8,44560310.28,127915.6511
100,1320932,Atlanta Regional Commission,Yes,540,City,2021,Cumming city,7021,189,1127,251,17,28,1.5,2.5,0,20,0,1.8,528,164,46.9,10.1,316,119,28,8.5,266,117,23.6,9,28722927.13,70759.5769
103,1321184,Atlanta Regional Commission,Yes,543,City,2021,Dacula city,6691,185,2323,331,265,172,11.4,7.2,173,160,7.4,6.8,1165,366,50.2,14,444,161,19.1,6.4,276,175,11.9,7.4,19768865.95,66970.95453
113,1322052,Atlanta Regional Commission,Yes,557,City,2021,Decatur city,23635,233,7980,484,616,146,7.7,1.8,364,105,4.6,1.3,3629,397,45.5,4.1,1587,273,19.9,3.2,1784,329,22.4,3.9,17293522.31,28117.21001
123,1324600,Atlanta Regional Commission,Yes,572,City,2021,Duluth city,30658,276,7989,893,650,253,8.1,3,422,255,5.3,3.1,2896,482,36.2,4.5,1841,465,23,5.2,2180,579,27.3,6.6,38558333.3,70417.57827
128,1325720,Atlanta Regional Commission,Yes,578,City,2021,East Point city,36632,405,10047,1000,673,280,6.7,2.7,636,252,6.3,2.4,4457,795,44.4,6.6,1695,447,16.9,4.1,2586,507,25.7,4.3,55121337.02,59328.07196
136,1328380,Atlanta Regional Commission,Yes,592,City,2021,Fairburn city,14694,957,4628,903,220,261,4.8,5.6,300,190,6.5,3.9,2038,602,44,9.8,1058,318,22.9,5.2,1012,517,21.9,10.3,64008662.1,89654.52982
139,1328968,Atlanta Regional Commission,Yes,595,City,2021,Fayetteville city,18515,153,4702,592,178,90,3.8,1.9,231,109,4.9,2.2,1824,340,38.8,5.3,1223,273,26,4.8,1246,394,26.5,7.7,49167032.23,114800.3374
144,1330536,Atlanta Regional Commission,Yes,601,City,2021,Forest Park city,18910,222,5637,903,96,84,1.7,1.5,669,495,11.9,8.6,2856,722,50.7,9.9,1139,340,20.2,5.1,877,313,15.6,5,34732176.05,55905.61408
164,1334596,Atlanta Regional Commission,Yes,625,City,2021,Grayson city,4323,189,1284,250,55,57,4.3,4.4,5,9,0.4,0.7,566,379,44.1,28.2,312,248,24.3,18.7,346,289,26.9,21.9,9415373.066,28477.93349
173,1336472,Atlanta Regional Commission,Yes,636,City,2021,Hapeville city,6154,287,1493,473,92,97,6.2,6.2,96,149,6.4,9.8,581,254,38.9,11.7,324,138,21.7,6.2,400,213,26.8,11.5,9019649.547,14280.37322
186,1339524,Atlanta Regional Commission,Yes,652,City,2021,Holly Springs city,16109,254,4706,582,159,96,3.4,2,270,179,5.7,3.7,2164,549,46,10.2,1127,307,23.9,5.8,986,291,21,5.6,27856380.25,141184.4311
201,1343192,Atlanta Regional Commission,Yes,675,City,2021,Kennesaw city,32155,310,9137,823,609,172,6.7,1.8,438,165,4.8,1.8,3112,477,34.1,4.2,1693,388,18.5,3.9,3285,678,36,6.7,37304922.46,104553.2253
206,1344508,Atlanta Regional Commission,Yes,682,City,2021,Lake City city,2875,46,754,284,11,21,1.5,2.7,0,14,0,1.9,221,87,29.3,3.3,115,95,15.3,11.2,407,288,54,32.4,6956586.508,16749.85761
