id,cost,ip_address,lat,lng
1,$85611.56,225.161.77.159,-6.4933318,106.8809319
2,$696139.36,236.70.247.9,46.7604507,38.4094028
3,$487864.13,8.69.185.115,14.5042265,120.9969782
4,$6437.86,243.238.142.45,35.87616,102.801062
5,$894691.43,24.215.197.20,33.504555,113.913911
6,$45811.99,138.30.156.220,39.8494377,-86.2666463
7,$185535.11,204.55.96.136,17.0187975,103.2432632
8,$978650.94,246.66.149.80,-11.7871994,43.2702822
9,$537296.41,255.164.156.175,53.3449659,32.0532332
10,$670000.91,195.195.125.27,24.1477358,120.6736482
11,$727711.92,28.31.28.174,30.5211502,112.8915932
12,$573227.26,22.17.140.156,55.6152783,37.9416367
13,$80637.04,80.229.63.40,-11.2648012,-75.6491753
14,$652684.88,18.36.193.69,-5.3860856,-79.4703885
15,$275174.99,59.8.158.170,45.3686282,16.5670285
16,$408255.26,219.103.125.217,53.6094616,-6.1832154
17,$687147.47,166.227.196.217,6.873999,7.6182095
18,$328842.97,187.84.211.14,-8.4636,120.5128
19,$650052.42,16.49.65.58,9.1669471,-74.1474846
20,$700523.50,251.212.192.194,-7.3090831,108.8511448
21,$522762.48,27.31.234.35,57.7662174,16.5983762
22,$668442.10,169.154.228.190,6.4687099,-4.976654
23,$632506.00,152.25.238.228,37.1518793,138.3591194
24,$971556.76,29.233.4.202,15.0270435,-91.148259
25,$701209.20,245.182.45.126,3.1035814,101.640078
26,$876627.17,215.161.12.201,-23.8611302,35.3411388
27,$982319.63,51.59.207.44,39.1505158,20.737591
28,$838223.51,196.182.243.178,41.1296379,-8.5821823
29,$93550.64,89.149.39.191,23.788392,114.74638
30,$460029.19,127.123.252.225,30.402167,112.899762
31,$509654.54,26.114.190.131,49.1313221,16.8056804
32,$942330.98,255.25.195.244,11.893334,109.1701666
33,$824294.92,66.25.55.124,35.664323,117.251195
34,$954866.07,210.106.129.14,45.2075889,20.8507302
35,$180523.58,65.208.164.129,49.6297207,37.6810464
36,$688062.53,147.222.143.125,57.4955715,13.1146225
37,$641917.20,244.228.124.69,-22.2220229,-49.8197149
38,$129851.50,114.85.145.189,42.3998287,20.6527992
39,$826294.72,5.14.57.45,13.6256926,123.1848939
40,$881738.09,111.96.99.201,23.063993,89.2318904
41,$855794.39,107.191.109.185,-8.2831649,113.5103504
42,$373527.22,213.157.140.4,48.5177572,24.6447745
43,$652274.76,94.151.200.99,26.1050311,104.5991578
44,$710519.92,66.171.170.6,29.6242257,-9.5395357
45,$155302.81,149.77.5.212,55.5039231,46.3984938
46,$648975.87,37.44.64.247,47.299613,125.930865
47,$923447.06,66.51.51.2,-23.5213379,-46.185867
48,$549075.65,29.17.34.171,49.0344853,2.2178783
49,$882666.89,51.248.64.179,-36.6131562,-72.9588593
50,$21190.50,23.22.66.42,40.888872,19.5181312
51,$371219.78,162.199.133.229,-7.4331,107.6462
52,$834471.48,36.169.136.35,51.2982002,20.2969528
53,$87892.08,63.101.195.3,39.174484,117.164388
54,$324192.25,30.25.98.221,40.934156,123.2064649
55,$568003.19,23.222.236.219,-6.9669184,112.3665609
56,$89177.30,236.205.231.40,3.592116,98.668662
57,$879698.97,144.25.59.119,8.1296031,-81.026991
58,$158954.46,62.215.27.100,45.3715797,14.3504236
59,$552584.79,4.75.187.20,-6.8898398,111.8330106
60,$618936.94,15.84.93.212,47.9035673,1.9638715
61,$807828.56,25.107.97.104,39.9095503,48.3595122
62,$238112.10,212.113.21.163,42.7015624,25.8960346
63,$247618.45,191.13.59.23,50.91671,-102.80099
64,$479226.45,159.66.83.197,35.1744271,-6.1473964
65,$844956.40,4.201.124.159,22.830192,112.074588
66,$369507.77,62.2.156.123,14.6430983,121.0219885
67,$22148.00,98.43.199.11,15.1614193,100.1087187
68,$88940.14,254.130.43.160,50.58999,20.057961
69,$15772.16,9.149.232.108,-6.2241971,106.8281984
70,$369251.73,159.170.21.87,56.1244362,93.3598524
71,$655196.80,115.60.45.226,8.16682,99.8348146
72,$815310.27,73.34.17.14,11.0124684,-63.9379244
73,$853639.51,199.57.216.120,44.0407757,16.1964988
74,$786932.32,44.82.135.235,52.4908529,20.7239452
75,$240782.18,154.129.12.222,32.061895,102.990108
76,$834882.45,108.156.133.169,21.104739,-101.670897
77,$913561.87,153.205.15.54,40.3943941,-8.7360619
